country,dungeon_id,dungeon_name,email,user_name,time_minutes,date
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,20,"2020-04-18 04:46:20"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,38,"2020-09-06 11:36:08"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,40,"2020-12-05 08:54:05"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,19,"2021-01-18 18:50:53"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,20,"2021-06-21 05:53:27"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,25,"2021-11-03 11:29:36"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,6,"2022-04-11 10:43:14"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,40,"2022-05-09 12:28:38"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,27,"2022-06-05 04:55:02"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,35,"2022-07-13 18:17:30"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,26,"2022-07-17 15:34:08"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aabe@example.net,minorusuzuki,43,"2022-09-12 23:54:05"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aaoki@example.com,rikamurakami,46,"2021-01-22 23:40:44"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aaoki@example.com,rikamurakami,29,"2021-04-16 13:34:41"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aaoki@example.com,rikamurakami,47,"2021-12-10 09:51:10"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aaoki@example.com,rikamurakami,40,"2022-03-03 19:07:20"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aaoki@example.com,rikamurakami,21,"2022-08-14 22:37:30"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aaoki@example.com,rikamurakami,42,"2022-09-01 03:51:33"
ja_JP,0,"Burghap, Prison of the Jealous Hippies",aaoki@example.com,rikamurakami,40,"2022-10-12 00:37:08"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,40,"2013-10-08 07:44:20"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,26,"2015-11-28 01:24:46"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,48,"2016-12-29 20:39:30"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,46,"2018-03-11 03:53:04"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,30,"2019-12-19 02:00:41"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,47,"2020-03-19 17:33:26"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,32,"2020-10-15 17:54:40"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,29,"2021-11-04 05:27:12"
en_US,0,"Burghap, Prison of the Jealous Hippies",aaron03@example.com,robin84,37,"2022-07-16 08:47:06"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,3,"2022-05-04 06:41:39"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,22,"2022-05-31 07:42:24"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,39,"2022-06-19 03:50:38"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,22,"2022-06-20 21:48:32"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,40,"2022-07-17 00:31:56"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,30,"2022-08-01 16:33:38"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,34,"2022-09-04 15:57:16"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,9,"2022-10-18 00:45:21"
en_US,0,"Burghap, Prison of the Jealous Hippies",aarongreen@example.com,leejessica,31,"2022-10-24 13:05:54"
fr_FR,0,"Burghap, Prison of the Jealous Hippies",aaubry@example.net,catherine30,23,"2022-07-21 07:49:09"
fr_FR,0,"Burghap, Prison of the Jealous Hippies",aaubry@example.net,catherine30,39,"2022-08-02 21:58:14"
fr_FR,0,"Burghap, Prison of the Jealous Hippies",aaubry@example.net,catherine30,4,"2022-09-30 08:26:27"
fr_FR,0,"Burghap, Prison of the Jealous Hippies",aaubry@example.net,catherine30,47,"2022-10-15 19:56:39"
fr_FR,0,"Burghap, Prison of the Jealous Hippies",aaubry@example.net,catherine30,32,"2022-10-16 12:40:07"
fr_FR,0,"Burghap, Prison of the Jealous Hippies",aaubry@example.net,catherine30,32,"2022-11-01 03:16:11"
fr_FR,0,"Burghap, Prison of the Jealous Hippies",aaubry@example.net,catherine30,11,"2022-12-12 06:03:32"
fr_FR,0,"Burghap, Prison of the Jealous Hippies",aaubry@example.net,catherine30,42,"2022-12-23 13:15:26"
ko_KR,0,"Burghap, Prison of the Jealous Hippies",abag@example.com,ljang,36,"2022-03-20 22:15:31"
ko_KR,0,"Burghap, Prison of the Jealous Hippies",abag@example.com,ljang,4,"2022-03-28 09:15:27"
ko_KR,0,"Burghap, Prison of the Jealous Hippies",abag@example.com,ljang,48,"2022-03-29 03:58:07"
ko_KR,0,"Burghap, Prison of the Jealous Hippies",abag@example.com,ljang,24,"2022-04-04 17:20:46"
ko_KR,0,"Burghap, Prison of the Jealous Hippies",abag@example.com,ljang,37,"2022-04-13 05:04:13"
ko_KR,0,"Burghap, Prison of the Jealous Hippies",abag@example.com,ljang,34,"2022-06-05 11:30:15"
ko_KR,0,"Burghap, Prison of the Jealous Hippies",abag@example.com,ljang,21,"2022-07-13 07:50:24"
ko_KR,0,"Burghap, Prison of the Jealous Hippies",abag@example.com,ljang,44,"2022-07-25 02:13:06"
